azimuth_deg,distance_m,rssi
45.5,0.155,172
45.7,0.161,170
45.9,0.16,171
46.1,0.164,167
46.3,0.164,169
46.5,0.165,169
46.7,0.167,169
46.9,0.174,164
47.1,0.173,167
47.3,0.175,166
47.5,0.174,166
47.7,0.175,162
47.9,0.179,164
48.1,0.191,159
48.3,0.196,157
48.5,0.192,159
48.7,0.188,163
48.9,0.189,162
49.1,0.208,155
49.3,0.216,154
49.5,0.229,154
49.7,0.255,146
49.9,0.277,146
50.1,0.296,142
50.3,0.32,139
50.5,0.356,132
50.7,0.395,123
50.9,0.402,122
51.1,0.41,123
51.3,0.427,119
51.5,0.441,115
51.7,0.444,118
51.9,0.449,116
52.1,0.456,113
52.3,0.459,114
52.5,0.466,114
52.7,0.471,114
52.9,0.477,113
53.1,0.484,111
53.3,0.491,108
53.5,0.497,108
53.7,0.499,111
53.9,0.502,108
54.1,0.505,108
54.3,0.505,109
54.5,0.505,106
54.7,0.501,110
54.9,0.506,108
55.1,0.51,105
55.3,0.514,106
55.5,0.523,102
55.9,0.659,80
56.1,0.674,78
56.3,0.673,81
56.5,0.669,84
56.7,0.676,83
56.9,0.658,94
57.1,0.67,85
57.3,0.678,84
57.5,0.68,84
57.7,0.676,83
57.9,0.691,78
58.1,0.705,66
58.5,3.001,16
58.7,2.996,12
58.9,2.978,8
62.5,0.133,166
62.7,0.133,169
62.9,0.133,172
63.1,0.135,176
63.3,0.135,176
63.5,0.131,181
63.7,0.13,180
63.9,0.134,180
64.1,0.136,182
64.3,0.137,181
64.5,0.135,180
64.7,0.135,183
64.9,0.135,182
65.1,0.133,182
65.3,0.136,180
65.5,0.137,182
65.7,0.137,181
65.9,0.136,182
66.1,0.134,181
66.3,0.132,180
66.5,0.132,181
66.7,0.135,177
66.9,0.135,177
67.1,0.133,175
67.3,0.128,175
67.5,0.132,168
67.7,0.128,163
68.1,3.202,42
68.3,3.195,42
68.5,3.188,43
68.7,3.181,43
68.9,3.176,44
69.1,3.17,44
69.3,3.165,45
69.5,3.157,45
69.7,3.152,46
69.9,3.148,46
70.1,3.141,46
70.3,3.135,47
70.5,3.13,47
70.7,3.122,47
70.9,3.117,48
71.1,3.113,48
71.3,3.106,48
71.5,3.099,49
71.7,3.092,49
71.9,3.086,50
72.1,3.081,50
72.3,3.075,51
72.5,3.067,50
72.7,3.06,44
72.9,3.053,42
73.1,3.052,47
73.3,3.048,51
73.5,3.049,50
73.7,3.043,47
73.9,2.999,42
74.1,2.977,43
74.3,2.974,45
74.5,2.98,41
74.7,2.983,35
74.9,2.969,34
75.1,2.949,40
75.3,2.947,46
76.3,2.923,33
76.9,0.101,162
77.1,0.129,164
77.7,0.112,167
77.9,0.109,167
78.1,0.098,169
78.5,0.115,160
78.7,0.11,167
78.9,0.107,168
79.1,0.103,169
80.1,0.108,167
80.3,0.106,166
80.5,0.103,168
80.7,0.108,169
80.9,0.106,174
81.1,0.106,173
81.3,0.111,174
81.5,0.105,182
81.7,0.103,183
81.9,0.105,183
82.1,0.103,185
82.3,0.102,185
82.5,0.104,188
82.7,0.106,188
82.9,0.104,190
83.1,0.102,190
83.3,0.1,191
83.5,0.1,191
83.7,0.101,189
83.9,0.099,191
84.1,0.1,191
84.3,0.1,191
84.5,0.099,191
84.7,0.101,188
84.9,0.1,189
85.1,0.1,190
85.3,0.101,188
85.5,0.103,189
85.7,0.101,187
85.9,0.099,187
86.1,0.102,185
86.3,0.103,182
86.5,0.097,183
86.7,0.101,179
86.9,0.101,176
87.1,0.095,171
87.3,3.034,41
87.7,2.445,45
87.9,2.363,32
88.1,2.358,32
88.3,2.356,32
88.5,2.355,32
88.7,2.355,33
88.9,2.355,32
89.1,2.35,31
89.3,2.314,31
89.5,2.302,31
89.7,2.297,31
89.9,2.295,31
90.1,2.295,31
90.3,2.295,31
90.5,2.295,31
90.7,2.295,31
90.9,2.295,31
91.1,2.295,31
91.3,2.295,31
91.5,2.293,31
91.7,2.289,31
91.9,2.288,30
92.1,0.109,166
92.3,0.105,170
92.5,0.097,172
92.7,0.1,172
92.9,0.102,174
93.1,0.105,173
93.3,0.104,177
93.5,0.109,172
93.7,0.102,175
93.9,0.099,178
94.1,0.097,178
94.3,0.101,177
94.5,0.104,176
94.7,0.101,176
94.9,0.102,176
95.1,0.106,177
95.3,0.108,171
95.5,0.103,171
95.7,0.103,169
95.9,0.109,167
96.3,2.248,31
96.5,2.249,32
96.7,2.25,32
96.9,2.248,32
97.1,2.247,32
97.3,2.247,32
97.5,2.247,32
97.7,2.246,32
97.9,2.246,32
98.1,2.245,33
98.3,2.244,33
98.5,2.244,33
98.7,2.243,34
98.9,2.242,33
99.1,2.24,33
99.3,2.238,33
99.5,2.238,33
99.7,2.239,33
99.9,2.242,33
100.1,2.252,31
100.3,2.288,29
100.5,2.301,30
100.7,2.3,31
100.9,2.299,31
101.1,2.295,32
101.3,2.293,32
101.5,2.293,32
101.7,2.294,32
101.9,2.302,32
102.9,2.752,40
103.3,2.428,41
103.5,2.408,41
103.7,2.405,45
103.9,2.368,49
104.1,2.343,51
104.3,2.329,50
104.5,2.33,47
104.7,2.346,45
104.9,2.405,46
105.3,2.81,49
105.5,2.865,56
105.7,2.864,50
105.9,2.825,39
106.1,2.818,36
106.3,2.874,50
106.5,2.9,58
106.7,2.892,51
106.9,2.847,38
107.1,2.828,34
107.3,2.874,43
107.5,2.87,44
107.7,2.842,36
107.9,2.833,34
108.1,2.889,43
108.3,2.909,53
108.5,2.917,58
108.7,2.921,59
108.9,2.922,58
109.1,2.922,58
109.3,2.908,50
109.5,2.879,39
109.7,2.849,33
109.9,2.89,39
110.1,2.92,50
110.3,2.916,45
110.5,2.889,33
110.7,2.912,38
110.9,2.939,51
111.1,2.946,54
111.3,2.93,40
111.5,2.88,31
111.7,2.924,39
111.9,2.951,51
112.1,2.952,49
112.3,2.871,42
112.5,2.844,41
112.7,2.844,42
112.9,2.848,42
113.1,2.872,48
113.3,2.935,52
113.5,2.958,40
113.7,2.923,31
113.9,2.873,30
114.1,2.84,29
114.3,2.82,29
114.5,2.809,29
114.7,2.81,29
114.9,2.831,30
115.1,2.914,36
115.3,2.956,43
115.5,2.99,50
115.7,3.008,55
115.9,3.014,55
116.1,3.016,54
116.7,2.625,39
116.9,2.548,34
117.1,2.54,37
117.3,2.545,37
117.9,2.877,29
118.1,2.854,29
118.3,2.832,29
118.5,2.821,29
118.7,2.82,29
118.9,2.841,29
119.1,2.9,33
119.3,2.931,33
119.5,2.924,34
120.1,2.586,35
120.3,2.583,38
120.5,2.61,44
120.9,3.092,30
121.1,3.047,23
121.5,3.129,32
121.7,3.123,32
121.9,3.083,31
122.3,2.834,33
122.5,2.814,35
122.7,2.792,35
122.9,2.78,35
123.1,2.763,34
123.3,2.749,34
123.5,2.733,35
123.7,2.718,34
123.9,2.703,35
124.1,2.693,35
124.3,2.682,34
124.5,2.671,35
124.7,2.659,36
124.9,2.65,36
125.1,2.646,38
125.3,2.643,38
125.5,2.643,39
125.7,2.642,39
125.9,2.64,39
126.1,2.638,40
126.3,2.633,39
126.5,2.632,39
126.7,2.636,38
126.9,2.638,38
127.1,2.639,38
127.3,2.641,39
127.5,2.644,40
127.7,2.647,39
127.9,2.649,42
128.1,2.651,45
128.3,2.654,43
128.5,2.662,42
128.7,2.671,42
128.9,2.683,41
129.1,2.704,41
129.3,2.72,44
129.5,2.724,46
129.7,2.729,44
129.9,2.739,37
130.1,2.782,33
130.5,2.99,28
130.7,2.928,31
130.9,2.912,31
131.1,2.901,31
131.3,2.898,32
131.5,2.935,44
131.7,2.983,50
132.1,3.44,46
132.5,2.937,52
132.7,2.921,50
132.9,2.929,48
133.1,2.925,49
133.3,2.921,51
133.5,2.979,54
133.9,3.525,45
134.1,3.536,45
134.3,3.542,45
134.5,3.537,43
134.7,3.503,40
134.9,3.487,40
135.1,3.486,41
135.3,3.485,41
135.5,3.486,40
135.7,3.485,41
135.9,3.485,41
136.1,3.486,40
136.3,3.488,40
136.5,3.487,40
136.7,3.486,41
136.9,3.487,41
137.1,3.487,41
137.3,3.487,41
137.5,3.489,40
137.7,3.489,40
137.9,3.491,41
138.1,3.49,41
138.3,3.491,41
138.5,3.492,41
138.7,3.493,41
138.9,3.495,41
139.1,3.495,41
139.3,3.496,41
139.5,3.495,41
139.7,3.497,41
139.9,3.499,41
140.1,3.5,41
140.3,3.501,40
140.5,3.503,39
140.7,3.503,39
140.9,3.505,36
141.1,3.512,34
141.3,3.518,33
141.5,3.523,32
141.7,3.519,33
141.9,3.517,34
142.1,3.517,34
142.3,3.518,34
142.5,3.519,34
142.7,3.523,37
143.5,2.698,31
143.7,2.693,32
143.9,2.695,33
144.1,2.703,34
144.5,2.794,51
144.7,2.844,51
144.9,2.854,49
145.1,2.839,47
145.3,2.804,35
145.5,2.778,33
145.7,2.782,33
145.9,2.789,32
146.1,2.795,32
146.3,2.805,33
146.5,2.813,33
146.7,2.821,33
146.9,2.832,33
147.1,2.85,34
147.3,2.88,39
147.5,2.903,42
147.7,2.934,44
147.9,2.964,47
148.1,3.027,49
148.5,3.243,48
148.7,3.244,49
148.9,3.238,49
149.1,3.23,49
149.3,3.22,49
149.5,3.208,49
149.7,3.201,49
149.9,3.192,49
150.1,3.17,47
150.3,3.111,41
150.5,3.069,35
150.7,3.057,35
150.9,3.058,34
151.1,3.073,33
151.3,3.105,40
151.5,3.113,49
151.7,3.08,44
151.9,3.031,36
152.1,3.012,33
152.3,3.007,34
152.5,3.026,35
152.7,3.058,44
152.9,3.056,47
153.1,3.029,37
153.3,3.022,33
153.5,3.031,44
153.7,3.034,47
153.9,3.016,37
154.1,2.999,32
154.3,3.003,42
154.5,3.003,53
154.7,2.999,54
154.9,2.99,50
155.1,2.978,42
155.3,2.957,35
155.5,2.943,32
155.7,2.952,38
155.9,2.954,48
156.1,2.947,50
156.3,2.932,43
156.5,2.91,34
156.7,2.881,31
156.9,2.9,34
157.1,2.909,42
157.3,2.91,50
157.5,2.907,51
157.7,2.897,48
157.9,2.872,39
158.1,2.838,31
158.3,2.859,37
158.5,2.866,46
